star_rating,review_body,vine,helpful_votes
3,"Works well enough for my purposes. Just the right size. I dig the 1 touch feature for 30 seconds (start) and minutes (number buttons). It's also good that it has the removable glass rotator thingy. What brings the star count down are the button sizes themselves – super tiny, and the handle. While this microwave is nice and light and the door seals well, that doesn't make for a good combination for opening the door. So I have to hold one side to apply opposite pressure to open the door. I think this could be solved with some super rubber feet, but I shouldn't have to add them myself.",N,2
1,Came in brand new package but item doesn't work at all.,N,1
5,"You can't use the &#34;cook&#34; feature with a timer going on the machine, but it heats quickly and is very easy to clean.",N,0
5,Got it sooner thank you,N,0
1,"It came slightly damaged but main problem is that it does not heat at all in any functions.  I have tried to heat a cup of water with Microwave Express, it looks like it is cooking but the water is at room temperature after 30 seconds.  Then I have tried all the functions and none of them work.  The surface light and the vent fan works fine.  I really should try it before I install it.  Now I have all the trouble to remove it and install another one.<br /><br />I order it from Amazon and contacted both the seller Home Care Company.  Since it is Saturday so I will have to wait up to two working days to to get a respond from Home Care Company.  I am not sure what will happen but I am not recommend to buy this product or buy it online.",N,6
5,"Lighter than the GE one it replaced.  Easy, simple to use TouchPad.  Installation was easy and I am not the best when it comes to installation of appliances.  I usually pay someone but the previous reviews indicated it was simple and they were right.  You just need 2 people when you are ready to lift it up and hang it in place.",N,1
5,"Install was really easy, and the microwave looks and works great. The buttons are really touch sensitive and it seems to clean very easily.",N,3
1,"One of my worst Amazon purchases. I hate this microwave and deeply regret purchasing it.  It is GIANT and heavy, sits crooked on a flat surface, and heats food unevenly!  You can get WAY better for LESS MONEY!!!!!  Shocked, because usually Amazon reviews are so spot on.",N,0
5,Just installed it  that part was easy,N,0
5,I couldn't enjoy our travels in our RV if I didn't have my Sharp convection/microwave oven. I just love it !,N,2
5,"Excellent product -- does the job.  I have one in my home, and when an older over-the-stove unit failed in a rental, I immediately ordered another.  A few things are tricky in the install, but were easily and quickly resolved.  Tenants happy, I'm happy.  In this case, the older unit had limited functionality, the Whirlpool has several features new to them that are real benefits.",N,0
5,"We really like the look of this microwave. We used the same model in our last home and liked it and just had a new home built and chose to have the same model installed in our new kitchen. We have never had any issues with it. It is classy looking, large enough for a casserole dish, and heats well.",N,0
2,microwave worked fine when I bought back in March '15; then a few days ago it would not turn on. Will not buy Danby microwaves again.,N,4
2,"When you close the door, it is VERY loud, to the point where it's annoying. If I had known this before I purchased it, I would have bought a more expensive one to not deal with the noise every time it closes. The plastic covering the buttons is already ripping, had it for less than a year. Other than that, it works fine.",N,2
4,"Purchased this for college student and it has not been used yet. Still in the original box. Looks nice, however.",N,0
3,"Microwave and reheat function works well, but it is a little slow and worse of all it has no way to quickly add 30 seconds or a minute. You must always either select a mode or manually enter the cook time before starting.",N,0
5,"I was reluctant to get a microwave because of limited counter space that I have in my tiny apartment, so I talked myself out of not needing a microwave. But then I realize how convenient it is to have one and found this one that's just the right size, that's when I knew I had to get it. But don't let its size fool you...it can fit a full sized dinner plate. Five star for sleek design and function. Love it!",N,0
5,"The microwave does what it's supposed to do and is easy to use. I like the express settings so when you press any single digit it automatically puts in that amount of minutes. It is great for urban kitchen needs. For smaller kitchens, doesn't take up too much space or for bringing up flights of stairs it is nice and light. Really compact, heats up food well. Great for the price.",N,0
4,"Our microwave was working fine, but had a number of rusty spots.  I cleaned the inside really well and sanded the spots to bare metal.  There was enough paint in the can to cover the spots as well as put a light layer on the remainder of the interior.  i.e. to give a uniform color appearance.  The only issue is that it took a week for it to air out.  You could still smell it a couple of weeks later.  But eventually it went away.  Overall, I'm happy.  The 10-yr microwave continues to work well and now it looks nice again too.",N,2
5,What a beautiful micro.  I love it.  Works great.,N,2
4,"For the low price, it works very well. Compact and nice looking.",N,0
5,"Excellent! I love the shape and size, perfect for a small kitchen",N,0
5,Had not heard of this brand. Was a little unsure about purchasing.  Really nice looking and very quiet!  Great value!,N,0
5,"This is the best, most efficient little microwave we have ever had.",N,0
5,Easily installed it is both attractive and operates easily,N,0
5,This is the perfect size for the space we have and I think it's the only one that will fit! And good quality.,N,0
2,"I had the older version 2083ST and it stopped working so I replaced it with this microwave - has identical size and older model does not exist.<br /><br />Two aspects were problematic from the prior model - one of the mounting screws was located in the wrong position, thankfully the wall bracket and one of the screws aligned perfectly. So had to drill one more screw. However, the two screws are not symmetrical i..e the distance from the sides of the microwave are different. This is bad engineering, as the center of gravity is not the center.<br />Second, the interior is grey, so we cannot be see the food cooking. Moreover, the bottom of the outside panel is tinted (or black) so unless you are 6 ft tall, you cannot see the very dark interior with very small light.<br />Further, the microwave arrived with the mounting bracket (which was located at the top of the microwave carton) bent; thankfully, we had the older one, we did not have to use it.<br />Overall, disappointed with LG design and there is no backward compatibility with older models.",N,21
4,I wonder if they will ever produce a microwave that only beeps once!,N,0
5,I m happy with it,N,0
5,"Looks great. Works great. I've been using it since May, probably daily, and haven't had any issues at all. It's stainless on the inside as well, so it wipes clean easily. Food and beverages seem to heat evenly. Great deal!",N,0
5,Love the versatality of this oven!,N,0
4,It's large but heats food up quickly and is easy to use. Only 4 star because of it's size. Make sure you have room. Mine is above my fridge which makes the push button to open the door ideal rather than pulling the door handle.,N,0
5,"We've been very happy with this.  Not sure I liked the dial at first, but being able to dial in extra time is quick and efficient.",N,2
1,I received the microwave and it didn't even work. I didn't have the original packaging so they wouldn't refund me. Brilliant. lol,N,0
4,"Low power but gets the job done, and good value for the money. As a den microwave or as a small office microwave, this is perfect and an excellent value. Takes a bit longer than larger units due to lower power, but works well.",N,0
5,Prompt delivery and great looking microwave. I cannot wait to try out grill function. I already went through instruction book to familiarize myself with the functionality.,N,0
1,"I purchased this microwave in January of 2015. In July of 2015 the microwave completely stop working. The whole microwave stop working the clock, everything. I want to get my money back. Most microwaves last for years. I have had a microwave that lasted for 25 years. To have a microwave last for only 6 months is disappointing.",N,0
5,"I only use a microwave to reheat coffee so when I bought my new house and it didn't have a microwave in the kitchen I was kind of like, meh, no biggie. However, after several weekends of cold coffee I caved and went looking for a small microwave that would look cute on the kitchen counter without taking up too much space. I AM SO FREAKING HAPPY WITH THIS. It's literally the most adorable microwave that you could ever want. If you do &#34;cooking&#34; with a microwave, then this isn't your best option. But if you're looking for something to heat up a beverage or reheat something small then this guy is great for you. Have I mentioned how cute it is?!",N,3
4,"We replaced our over-the-range microwave with a range hood. We needed a small microwave to install in our pantry and this fit the bill. It holds a 12&#34; plate and has multiple power levels for cooking, but we use it mostly for rewarming. It does take about twice as long as our old microwave but that's okay. One feature I really like is the one-touch button for speed cooking. Start will zap something for 30 seconds on high. 1 = 1 minute, 2 = 2 minutes, etc. That is quick and handy!",N,0
1,I bought this microwave for my parents for Christmas. After six months it died.  My father has been attempting to get his refund processed for the past month and they keep giving him the run around. Don't buy this product!!!,N,1
4,"This is a nice looking unit. It arrived right on schedule and was well packaged, so no damage. Plus, all the features seem to work. I particularly like that the fan seems to be quieter than my old unit. My only complaint was, as noted by a couple of others, the installation instructions had the screws in the wrong places. Fortunately, I didn't do the install myself, a pro did it--or the micro would have been on the way back to &#34;home&#34;! The unit matches my other LG appliances, so, I'm pretty happy. I'll update this after I've used the micro for a while. Ta. y'all.",N,11
4,Not a power-horse but great on space for my tiny kitchen.,N,0
5,It works just fine.,N,0
5,I needed a vertical microwave to fit a special spot in my galley.  This unit has proven to have both the power and interior space to meet all my needs.,N,0
5,Excellent quality. Fixed our $500 microwave. Learned that mfg offer 10 year warranty.,N,0
1,Terrible microwave. doesn't heat the food yet the outside of the microwave gets hot. never had a microwave that gets hot on the outside. working with the supplier to replace it.,N,2
3,The microwave is fine but the shipping was terrible.,N,0
5,"I was a bit concerned after reading some of the ratings, but I took the plunge -- and I'm glad I did.  It does everything as good or better than advertised.  As with most products, the manual could stand some extra effort (simplification), so those who don't read it do so at their own peril.  Both my wife and I are pleased with this product and hope it lasts as long as my original Samsung (11 years).",N,11
3,"First...it's pretty big (something to considering if you live in an NYC apartment). Second...the door makes a pretty loud noise when you close the door. Third...there's a noise coming from the unit which sounds like the glass plate is shaking every time I use it. Overall, it heats up my food. That's all I really need.",N,0
4,"Getting good use in a small office, and working well.  Seems to be well built, and holding up well in a tough environment.  Good value.",N,0
5,"This has been a great little addition. The plate is as large as a that of a larger microwave, but this fits in smaller space -- in this case, in a corner.",N,0
5,Simple and basic microwave. Works as expected and does the job. Perfect for limited space on a countertop.,N,0
5,Received product as described and expeditiously. A++++,N,0
4,"Just a month, no issues, no particular shortcomings, nothing really outstanding, just working as a reasonable microwave should.",N,0
3,"It's a microwave. The buttons feel cheap.  Also, before you purchase go somewhere and see a microwave that is .7 cubic feet. Literally can't even microwave a hamster it's so small...",N,0
5,"Love this microwave.  It fit perfectly in the area I wanted it to.  I wanted a simple, smaller microwave and this fit the bill.  Most microwaves are larger and have too many bells and whistles for me.  It is very attractive - I wanted some stainless to match my other appliances.  I have another Danby product (dehumidifier) and find Danby to be a good product.  In one review I read it said the microwave slid when opening the door - I haven't found this to be a problem at all.  The price for this is great.  Would definitely recommend it.",N,0
5,"So far so good! It's just big enough to fit my large ikea plates. I didn't think it would be, so I was pleasantly surprised. I didn't want to sacrifice counter space, and this was the best option. It seems to heat up pretty well. Sometimes it takes a little longer than other microwaves, but for me an extra minute isn't a big deal. For the size and price, it's a fantastic buy.<br /><br />EDIT: Just thought I'd update. It's been 2 years and it's still going strong. No issues whatsoever. It works just as well as when I purchased it.",N,0
4,Perfect for our backroom.  Very pleased with the product.,N,0
4,"What can you say about a part that fits specific applications? It replaced the broken turntable motor in the microwave. Now the microwave doesn't burn things on one side and leave the rest cold. So, it's great that the microwave is works again. The motor was considerably cheaper than having to get a new microwave, which is the best thing about it.<br />It was easy to swap out once the cover was removed from the bottom of the microwave. Getting to the turntable motor in a counter top microwave takes a chisel (or snips, etc.) to cut the tabs holding the cover panel to the sheet metal bottom of the oven. Then it's just a case of removing one screw and unplugging a connector. Just reverse the process and its back in place and you are in business. The cover plate may need a screw to hold it in place when you reassemble the microwave. It wasn't included with the motor, but is easy enough to find at the hardware store (or scavenge from some old, unused electronics).",N,0
4,"I have had this microwave for about 5 months now and it is working perfectly. The settings on the front are easy to use, I regularly use the 30 second option on the &#34;start&#34; button, and it cooks evenly. 1100 Watts is good enough for everything I cook and I like the fact that there is a light when you open the door. I think 5 beeps at the end of cooking is excessive but I do like the fact that there is no reminder beep after 1 minute. Plenty of items need to sit in the microwave for 2 minutes after cooking and a reminder beep is annoying (personal preference though). It is big enough to take a dinner plate but still a nice size for a small kitchen. I like the look of it too - clean lines! I knocked a star off because the door button needs a lot of pressure to open and the microwave slides away from me unless I hold it with the other hand. Perhaps putting the microwave on a non-slip mat would solve that issue.",N,0
4,"So far so good! I'm not enamored with the constant beeping when things are done, but when one of my kids use it, it allows me to give them an evil stare & ask them if they are using the microwave. When I was looking to buy a new one, I had my evil redheaded stepchild  (Relax!, he is over 21) check out the specifics of the 2 machines. He said they were identical. However this one is slightly larger & performs much faster than the one it replaced! Still, not a problem, but I have to wonder why the old one took much longer to perform the same thing;!",N,0
1,Dont buy it!!!<br />The button will be defective after 8 months,N,1
5,We had the olver range model in our house but had leave it when we downsized into an apartment. This is the countertop model of the one we had to leave behind. As the wiseman said<br />I have a happy life when I have a happy wife.,N,4
5,"Great basic little microwave.  It is small, but it has all the basic functions you need.  It heats things very thoroughly and quickly.  Surprised at how much hotter it is than my bigger GE.",N,3
5,"Could not have asked for anything better. The price was so cheap and the microwave works very well.<br /><br />The door is kind of hard to open. When I open it with one hand, I tend to push the machine a little.<br /><br />No issues with heating and seems to work well.<br /><br />The sound is kind of loud..but it is a microwave.",N,0
5,"A little smaller than I anticipated, but still great!! I should've just read the dimensions better",N,0
4,"Very nice microwave, good size, programming buttons very clear and easy to use. The only reason I gave this 4 stars is the door closure. Maybe for some folks, having a door that latches so tight you have to hold onto the oven itself when pushing button to open door is a good thing but not for me. Really wish there was a way to adjust this-a bit aggravating to have to hang on to it so I don't shove it off the stand to open the door! And one small note...I haven't figured out yet if you can use timer and then go ahead and cook in it without shutting off the timer, my old one you could and find that to be a feature I miss-have written to Danby to ask if I'm missing something on how to do this but they seem to be slow to respond. UPDATE: Danby took over a week to respond but it's as I feared-you cannot set timer and still use microwave to cook-OH WELL but definitely gonna miss that feature from my old microwave. And make sure that when you check a review for Danby microwave, it is for the actual model you are looking at-Amazon has chosen to lump ALL Danby model reviews so whereas this review is for 1.1 and 1000 watt, some reviews are all the way down to the .7 and there seems to be a wide gap in reviews.",N,0
2,Not as expected. Measurements are given and are true to what the item itself is. Was very surprised at how big this microwave turned out to be. Very dissappointed as I thought I would be getting a small microwave. This microwave took up just as much space as my current one. It will be going back to seller.,N,0
5,"Works very well if you properly prepare your old microwave first by degreasing, sanding, cleaning and taping it off before applying multiple light coats.",N,0
1,"The oven  stopped working  1 month after I got it, Samsung is unhelpful, a repair guy came said he fixed it. It is still not working,<br />I have been chasing Samsung for 2 weeks.",N,1
4,"Tiny as promised! Not very powerful, which goes with the tiny, but it seems like they should be able to fix that in a future model.  The button to open the door requires a LOT of pressure.",N,0
3,"I like Sharp Microwaves. My mother had one for 40 years and I have had one for 30 years before both required repair. My microwave needed a new magnetron and fuse which I fixed for $125.00. My mother's microwave had to be replaced as we could not find all of the replacement parts we needed. Hence, I purchased the one above- almost an exact replacement. It works very well and is easy to use, but I am not happy with the outward appearance. Too much black and it looks cheap compared to her original one.",N,1
1,"It was delivered on Feb. 14, 2015 and has stopped working already. Brand new outlet so I know it's not that. Will not turn on at all and the return window closed on Mar 17, 2015.",N,0
4,This is a very good microwave. it is perfect for places with limited counter space. It is small. You won't be able to cook full meals with this microwave but it is perfect for basic microwave uses such as heating up frozen vegetables and reheating leftovers. So far it has worked just fine.,N,0
4,works well and an an advantage i had not thought of is that the 5 y/o can use it with supervision.,n,0
4,i am please with this purchase. its the only portable close washer i have purchased so i can't compare products. e spin cycle isn't veryeffective but it washes well. you can put a pair of man size jeans and a couple of tshirts. at one time. i purchased a two year protection plan just in case.,n,2
4,"i have not used it yet but it looks exactly same size that we have.  hope it works well, then it's a great deal!!",n,0
5,"matched its description, successfully replaced broken part on my samsung dishwasher. does the job needed, which was mostly just to keep the top dishwasher rack in highest position. i have used lever to raise and lower but it's just not some thing i need often. hard to install, had to really press on it using tools, before it made an audible snapping sound and settled into place. it only goes in one way, in a specific place, so pay attention because force is required and forceful install in wrong place will destroy it. since it is a hard plastic, i could see where the plastic mounting tabs showed stress from the install.  i worried they would break off during my efforts.  important to know that these are side-specific, you need to buy a right or a left to fit the need because it cannot switch between them.  when one breaks, the others carry the load and break sooner so buy spares. ensure your purchase specifies right, left, or both.",n,2
4,Good I love it. Hoping its lasting. My friends and family was excited thought I changed my dishwasher,N,0
4,"Works well, but same gripes as other reviewers; no handle, slides too easily.",N,0
5,Perfect space and size. I have no cabinet space and this works perfectly. But you can't put a regular size plate in it. Still serves their purpose.,N,0
4,The push buttons are ok but occasionally have to push harder to operate.,N,0
4,"Overall, like it and would recommend. One issue is that, of late, the door requires several pushes to open. I've cleaned the area, can not see an obvious issue but am concerned that it may worsen. So far that is the only negative I've experienced. I'm contacting Samsung directly on this one.",N,6
5,"We love this. One of our favorite parts of the kitchen remodel. Such a space-saver and it just IS cool. I read some negative reviews - all stemming from not have a revolving plate and might be damaged if someone pushes down on it? Well duh. I have a 5yo and 8yo - they know not to stand on/in the microwave. And it's 2015 - who needs a revolving plate? I use a microwave for quick stuff, not rotisserie chicken and what-not. We are super-pleased with this microwave.",N,50
4,"I bought this M/W for use in an apartment after reading the good reviews on Amazon. Functionality and performance and even look-wise, this has been a great buy. No complaints there. But a couple of important downsides to this microwave...It is LOUD and keeps beeping even after the timer is done. there is no 30 second timer which is already mentioned in some of the reviews/Q&As. So, that is a fact..just confirming here.",N,1
4,"This microwave is great! The size is perfect for my small studio apartment (not a lot of countertop real estate) and the stainless steel finish looks really nice.  Sturdy construction and works very well. The light turning on when you open the door is a nice feature. I docked it a star because the buttons are a little more difficult to push than other microwaves, but not too big of a deal!",N,0
2,"I've had the microwave for 2-months. It used to open easily. It no longer opens when you push the button, you have to manually pull the door open. definitely a disappointment. I hope I can return it!",N,5
3,Not as fun as I thought I would be,N,0
4,Fits my counter top (I have a small apartment) well and I am very pleased.  Does not take up a lot of room and seems to work very efficiently.  Thank you.,N,0
1,This microwave worked fine for some 3 months and then started problem with door. I was totally disappointed seeing problem in just 3 months. Customer service was rude and unhelpful.,N,0
5,am very happy with  this,N,1
5,Works the way I expected it to work.,N,0
5,I didn't measure well and this wonderful piece of equipment was much too large so I had to return it So sorry I'd have loved to keep it,N,0
4,My mom really likes it,N,0
4,"Just as advertised.  Nice looking, easy to clean and large interior .  MNo problems thus far.",N,1
5,Installed easily and looks great. It's only been in use for about a month but we have no complaints. Fan is quiet.,N,3
4,"Big enough to put lots of things in, but doesn't take up too large of a space on the counter. I can say this honestly as I have less than 9 linear feet of countertop available to stick anything onto.",N,0
1,Horrible waiting for a refund,N,0
5,great microwave.  simple and compact.,N,1
5,Great value for the money,N,0
5,"We opted for this style of microwave this time around in our new kitchen and have not been disappointed! The shipping was fast (thanks to Amazon), the look of the microwave is wonderful and goes well with our other appliances (GE Monogram & DCS), the drawer opens and closes well, it cooks wonderfully, it's quiet, controls are simple to use, the kitchen timer is handy...I know there were some negative posts, but as of now, after 4 months of use, I couldn't be happier!",N,2
5,fits ikea wall cabinets..,N,0
5,Great little microwave!,N,0
5,Really worked. The once rusty bottom inside of my microwave looks brand new.,N,0
5,Came in on time. Had no issues,N,0
4,Fit my microwave cart perfectly and works really well.  Great microwave at any price.  I really think it's more powerful than 700 watts though.,N,0
4,"after sanding rust out and washing cavity, paint when on with no problem.  However, jt did take several coats to cover the exposed sheet metal.  So far the plastic wheels on the plate rotary device have NOT picked up any of the fresh paint.  Wife loves her &#34;new&#34; microwave.  Paint was totally dry within an hour.  We left it outside over night with the door open to get rid of fumes.",N,0
4,"Very satisfied , looking great, AAAA",N,2
5,"Prompt shipment, great quality. Stylish microwave, perfect for limited counter space.",N,2
3,Came damaged and was returned,N,0
5,Great item and seller!,N,0
3,"I wanted a product that was a microwave and toaster, and this claimed to be in the description.  It does not toast!  The manual is awful, very little and very confusing instructions.",N,4
2,Good microwave oven.  Priced right. Setting too high will burn everything till learning curve is over.  Expect to burn a lot of food.  8/26/15 re-review  turn table inside quit working.,N,0
1,it's starting not to work well - takes too long to heat food and leaves cold and hot spots.,N,0
5,5 star very happy with it,N,0
5,Simply the best microwave we have ever owned,N,0
5,As described. A great little microwave for the price!,N,0
4,It is a cute microwave that fits into the space I had.  It is a little smaller than I had imagined and the &#34;crome&#34; on the outside is a little hard to clean.  I works well and I am happy with it.,N,1
5,Powerful and beautiful microwave.,N,0
5,Very good product for the price.,N,0
5,"Great product, looks nice... Exactly what we were looking for. Arrived in great shape two days after we ordered it!",N,0
4,"It is everything I wanted it to be. Got it for my 92 year old mother who had a microwave die on her. So far she is very happy wit it. Time will tell if it is a substantial product, but the price was very good.",N,0
1,Cheaply put together.  Very low quality for the amount of money spent. Spend a little more and get a quality product.,N,0
5,"He has worked perfectly right out the box. It was simple to set up and easy to use. I've used it to defrost meat, make beverages, bake potatoes etc etc and its been great. Excellent value for money. It lived up to its Consumer Report's Best Buy status",N,0
3,Perhaps its my fault in not researching the low wattage but indeed this microwave takes an exorbitant amount of time to heat items,N,1
1,Late Package Delivery. Damaged Item.,N,0
5,"Absolutely fine.<br />Actually, I recommended it to a friend.  It was the right size for her.<br />She ordered and received from you.  Fits perfectly for her too.<br />I like the handle on the door.  Makes it easier.",N,0
4,"Wish the cord was longer, but I really like the way it fits into the corner of my countertop. I have a small kitchen & it doesn't take up a lot of space.",N,2
5,Fits in my studio without taking up to much space. I have no down side to comment on this little microwave. It functions perfectly for what I need it for...which is heating bowls of isomalt for working hot sugar art. Love it!,N,0
4,"I looked a long time before I found this microwave; it was very hard to find one where the interior light goes on when the door is opened (not just when it is in operation).  This one does, is logical to operate and fits nicely on a counter top. The only thing on my wish list that is lacking is power; it's only 1,000 watts and I would have preferred 1,200 watts.",N,0
5,This is a great little microwave. It fits perfectly in my tiny space so that I have a little more needed counter space than I did with my larger microwave,N,3
5,Perfect size for my dinner plates. I like the express cook buttons that allow me to hit one button to start cooking. Cooking times for store bought frozen foods seems to be just right for this microwave. Good quality for a low price.,N,0
4,Works as expected. Great value.,N,0
5,I am in a wheelchair.  Cannot stand to reach our over the stove microwave.  Purchased this to place on he counter.  Now I can microwave to my hearts content.  Works great and priced right.  Would recommend it to everyone.,N,0
5,Exactly what I wanted.,N,0
5,Looks great for the price and works well! Could not ask for more.,N,0
5,Product does the job it was sold to do.,N,0
2,"It's kind of tinny.  Probably just too small . The latch for closing the door sticks so you need to slam the it,  and the whole thing shakes.  I'm already prepared for itt o die, and I will buy a larger and more expensive one.",N,0
5,love this! Good size for countertops<br /><br />had it since January 2015 and loved every minute of it.,N,0
4,It came with the diode which may have caused the problem and I would not have known it. Good call!,N,0
4,"Great size.  I only use a microwave to reheat things.  So nothing more then 5 minutes or so.  The simple display to add time by 30 second increments is what allows this to be so small.  If you need complicated time inputs with numbered buttons, this isn't for you.",N,1
4,"Great value for the price. Full array of function controls. Takes up small amount of counter space, yet has plenty of room for a full 10 1/2&#34; dinner plate on its motorized turntable.",N,2
4,"Nice microwave arrived quickly was actually 40 dollars cheaper than in the local big box stores.  very quiet, sleek look, Grill function works well. so far we've had it only a week but it seems to be doing the job as described.",N,0
5,TThe kit works well. It took lots of work to unload and reload the microwave over the range though.,N,0
5,"Great stuff.  Saved me from having to buy new oven.  It's been a year, and it's still good.",N,3
5,"My over the range microwave died and the manufacturer no longer makes the model I have.  Because it will take me some time to find what will look correct with what I now have, I needed a microwave oven quick!  Took a chance, because I didn't want to spend a lot of money, and purchased the Danby 0.7 cu. ft. countertop.  I couldn't be more pleased.  It works just great for what I need and it arrived in two days!",N,0
4,"It works, nothing fancy, no bells and whistles. It's small its basic and that's all I needed. Big enough to fit a dinner plate and small enough to push into a corner, perfect.",N,3
5,"Fast delivery, great microwave!",N,0
4,"The color description on the can is &#34;snow white&#34;, the reality is this paint is an off white color.  My GE microwave is a bright white color and this paint did not match.  I still used the product and it worked well.  If the directions are followed, the spray applies evenly and covers well with several coats.  For my needs I liked this product better than the touch up paint with brush application.  You also get more paint with the spray can.",N,0
5,"Great small size, easy to clean. Amazing price!",N,0
